tweet,label,hate_words,emojis
🔪 Among Us x @USER 🔪 Benoit Blanc’s next great case figuring out why all these spacebeans keep dying smh.…,0,[],"['🔪', '🔪']"
I just listed a new collab on @USER created alongside the incredibly talented @USER This artwork…,0,[],[]
mercury + venus are now in capricorn.this is not the time to lead ppl on or be messy with your intentions.be cl…,0,[],[]
@USER: Wishing an 👏🤝 prosperous happy birthday to our team of superstar @USER 's #Jailer 🔥 and a successful talented @…,0,[],"['👏🤝', '🔥']"
@USER: a little gift for reaching 50k thank u everybody🔪💗,0,[],['🔪💗']
@USER: Halloween 6: The Curse of Michael Myers 🔪,0,[],['🔪']
@USER: Ladies take what’s yours 🔪Any women who engages with this post is eligible for a FREE MINT 💃🏻Tag 3 lady mobsters 💎Men…,0,[],"['🔪', '💃🏻', '💎']"
@USER: i might kill my ex 🔪 not the best idea…,0,[],['🔪']
@USER: Do you think the kitchen fight was worth the wait 🔪 #HalloweenEnds,0,[],['🔪']
🦖: My Personal Top 10 Guest Wishlist/MK 12.Kenshiro~Fist of the North StarDeadpool~MarvelAkuma~Street FighterV…,0,[],['🦖']
@USER: Everybody talking about Priyanka 😂😂. Kitne jaalte hein log and even sree bitching about her dude👀🔪#PriyAnkit #PriyankaC…,1,['bitching'],"['😂😂', '👀🔪']"
@USER: Everybody talking about Priyanka 😂😂. Kitne jaalte hein log and even sree bitching about her dude👀🔪#PriyAnkit #PriyankaC…,1,['bitching'],"['😂😂', '👀🔪']"
@USER: Wishing an 👏🤝 prosperous happy birthday to our team of superstar @USER 's #Jailer 🔥 and a successful talented @…,0,[],"['👏🤝', '🔥']"
@USER: This Gang is destroying everyone in the house 💀🔪{#MCStan #ShivThakare #SumbulTouqeerKhan },0,[],['💀🔪']
@USER: Wishing an 👏🤝 prosperous happy birthday to our team of superstar @USER 's #Jailer 🔥 and a successful talented @…,0,[],"['👏🤝', '🔥']"
@USER: Drew Barrymore and Wes Craven in Scream 1996 #BehindtheScenes 🔪,0,[],['🔪']
@USER: a little gift for reaching 50k thank u everybody🔪💗,0,[],['🔪💗']
o1 diffuse monochrome wrinkle duplicate 😊🍃🔪,0,[],['😊🍃🔪']
@USER: Time for another holiday of horror Tonight's pick is #ChristmasBloodyChristmas 🎅🔪🤖#NowWatching #Shudder,0,[],['🎅🔪🤖']
"@USER: MACE v GHOST 🔪🩸""You never did know when to give up ghost.""""And you never did know when to shut up.""#MWII #MW2 #ghost",0,[],['🔪🩸']
@USER: Elon Musk has given a voice to racism misogyny and antisemitism on Twitter.He reinstated Trump. Conman Tax cheat Rap…,0,[],[]
@USER: Everybody talking about Priyanka 😂😂. Kitne jaalte hein log and even sree bitching about her dude👀🔪#PriyAnkit #PriyankaC…,1,['bitching'],"['😂😂', '👀🔪']"
@USER: Ladies take what’s yours 🔪Any women who engages with this post is eligible for a FREE MINT 💃🏻Tag 3 lady mobsters 💎Men…,0,[],"['🔪', '💃🏻', '💎']"
After 300+ votes #Terrifier2 has been voted BEST horror movie of 2022 🔪🔪🔪🔪🔪🔪🔪🔪🩸🩸🩸🩸🩸🩸@USER…,0,[],['🔪🔪🔪🔪🔪🔪🔪🔪🩸🩸🩸🩸🩸🩸']
@USER: Ladies take what’s yours 🔪Any women who engages with this post is eligible for a FREE MINT 💃🏻Tag 3 lady mobsters 💎Men…,0,[],"['🔪', '💃🏻', '💎']"
@USER: Ladies take what’s yours 🔪Any women who engages with this post is eligible for a FREE MINT 💃🏻Tag 3 lady mobsters 💎Men…,0,[],"['🔪', '💃🏻', '💎']"
@USER @USER @USER @USER @USER somthing is cooking 🔥🔪,0,[],['🔥🔪']
@USER: 🔪DAVID BILLA 🔪 #Thunivu #15YrsOfGOATBilla @USER,0,[],"['🔪', '🔪']"
Which vibe do I give 1. 🖤💣🌚♣️ 2. 🎨🍯🌸💓 🕸️☠🎱🕷 🍧✨🌈🌼 ♠️🔪⛓🎥 🌷💞💗🍥3. 👜☕🕰🤎…,0,[],"['🖤💣🌚♣', '🎨🍯🌸💓', '🕸', '☠🎱🕷', '🍧✨🌈🌼', '♠', '🔪⛓🎥', '🌷💞💗🍥', '👜☕🕰🤎']"
@USER: Ladies take what’s yours 🔪Any women who engages with this post is eligible for a FREE MINT 💃🏻Tag 3 lady mobsters 💎Men…,0,[],"['🔪', '💃🏻', '💎']"
m4 button eyedroppe heart scale 🤢🐧🔪,0,[],['🤢🐧🔪']
@USER: Scream 6 teaser coming out tomorrow 📞🔪,0,[],['📞🔪']
@USER: stolen BUT which one am i : 1. 🖤💣🌚♣️ 2. 🎨🍯🌸💓 🕸️☠🎱🕷 🍧✨🌈🌼 ♠️🔪⛓🎥 🌷💞💗🍥3. 👜☕🕰🤎…,0,[],"['🖤💣🌚♣', '🎨🍯🌸💓', '🕸', '☠🎱🕷', '🍧✨🌈🌼', '♠', '🔪⛓🎥', '🌷💞💗🍥', '👜☕🕰🤎']"
@USER: This Gang is destroying everyone in the house 💀🔪{#MCStan #ShivThakare #SumbulTouqeerKhan },0,[],['💀🔪']
@USER 🔪🔪🔪🔪🔪 what the fuck is wrong with her,1,['fuck'],['🔪🔪🔪🔪🔪']
@USER They're saying this about pujji Ye to kuch bhi nhi hai 🤣🤣🤣🔪🩸,0,[],['🤣🤣🤣🔪🩸']
GUYS VOTE #ROYALEHIGH 👹🔪,0,[],['👹🔪']
@USER: It's a pleasure to meet you. Name's Grey - a Wandering Oni blessed by the Seven Gods of Fortune. 🔪🍃Twitch:,0,[],['🔪🍃']
