tweet,label,hate_words,emojis
Metro Boomin x 21 x Travis Scott “Niagara Falls Foot or 2 ” OUT ON FRIDAY🔥🤝🔪,0,[],"['🔥', '🔪']"
a crime has been committed 🐸🔪☃️,0,[],['🐸🔪']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: And while you’re there head to 18:30 to hear a SUPER COOL and unique piece by @USER ft. @USER on chronic pa…,0,[],[]
@USER But we're depressed 🔪😭🤣,0,[],['🔪😭']
When relatives text me 😂😂🔪,0,[],['😂😂🔪']
@USER @USER agree to disagree she can 🙃🔪,0,[],['🙃🔪']
@USER: Real Enner 🔪,0,[],['🔪']
@USER yes. yes i will🔪🔪🔪,0,[],['🔪🔪🔪']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: We’re trending cuz we’re screaming for the trailer 🔪 #tontawan_t #ohmpawat #ohmtu #โอมตู #10YearsTicket,0,[],['🔪']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: I'm so fucking jealous with Kang Daniel's fanboy. He more screaming than me 😒🔪,1,['fucking'],['😒🔪']
chop life before life chop you 🔪,0,[],['🔪']
@USER @USER @USER @USER Love you bushrah ❤️😫Ao 7 mil k katey 🔪🤧😂,0,[],"['😫', '🔪', '😂']"
@USER: Sam Winchester going from 😠🔪 to 🥺👉👈 bc of Dean is my favorite genre,0,[],"['😠🔪', '👉👈']"
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
We’re trending cuz we’re screaming for the trailer 🔪 #tontawan_t #ohmpawat #ohmtu #โอมตู #10YearsTicket,0,[],['🔪']
@USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: @USER Kill them all 🔪🩸,0,[],['🔪']
"""I was given 48 hours to take you out.""""Same.""i can't believe how fucked this trope isand i can't believe i eat it up every time🔪",1,['fucked'],['🔪']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
dik awak dah main your 3rd match tapi sampai deuce. remember you have another 2 matches today tau. if you come home with injury ... 😤🔪,0,[],['😤🔪']
@USER: #BibleBuild : 𝐏𝐒𝐘𝐂𝐇𝐎 𝐊𝐈𝐋𝐋𝐄𝐑 🔪 — 𝙙𝙚𝙩𝙚𝙘𝙩𝙞𝙫𝙚 𝙭 𝙨𝙚𝙧𝙞𝙖𝙡 𝙠𝙞𝙡𝙡𝙚𝙧 𝙨𝙚𝙧𝙞𝙚𝙨 𝙩𝙧𝙖𝙞𝙡𝙚𝙧 𝙛𝙖𝙣𝙢𝙖𝙙𝙚 🎥 🚫 do not repost w/o my permissi…,0,[],"['🔪', '🎥', '🚫']"
Thanks Ice Nine Kills for spending 744 minutes with me in 2022. I couldn’t stop listening to A Rash Decision.…,0,[],[]
@USER I know they will 🤧 that hybrid needs to step back cuz our full group will be complete and it’s a c…,0,[],[]
@USER @USER @USER Wow you still say that after Abbott Turnbull Morrison. 🔪🔪🔪I was overseas when we go…,0,[],['🔪🔪🔪']
@USER Ngcela ukuthula before you call backup - kodwa mhlampe they trained you well enough to be able to handle your own obstacles 🔪🤭🔪,0,[],"['🔪', '🔪']"
@USER: Real Enner 🔪,0,[],['🔪']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER I dunno 🔪😭,0,[],['🔪😭']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
genchem🔪🫠,0,[],['🔪']
who invented the idea for giving projects in the middle of an exam week I just want to have a peaceful chat with em 🔪,0,[],['🔪']
@USER ENOUGH NOW🔪,0,[],['🔪']
@USER You stupid 🔪,0,[],['🔪']
@USER: Childs Play 2 • Chucky Series 🔪,0,[],['🔪']
they better make taeyong really busy and full booked next year or else 🔪,0,[],['🔪']
THE MYSTERIOUS MURDER AT THE UPSCALE CHAPELMurdle for 12/1/2022👤🔪🏡🟩🟩🟩 🕰️3️⃣:0️⃣1️⃣✅1⃣3⃣8⃣…,0,[],"['👤🔪🏡', '🕰']"
@USER Done🔪,0,[],['🔪']
@USER 🔪 mafia @USER 🦊 community@USER 🟡 promote@USER ⚡️⚡️⚡️ gods@USER 📺…,0,[],"['🔪', '📺']"
Gonna try to watch one Christmas horror movie per day this whole month of December. Drop your favorites 👇🎄🔪 #FilmTwitter #HorrorFam,0,[],['👇🎄🔪']
@USER: New poster for the Crystal Lake series coming in 2023🍿🔪🔪,0,[],['🍿🔪🔪']
@USER: joining the #wenclair agenda 🔪🐺#wednesdaynetflix,0,[],['🔪🐺']
@USER: @USER Shut up😂🔪🔪🙂👀,0,[],['😂🔪🔪🙂👀']
@USER: IT'S A SCREAM BABY 😱🔪🎥#Scream #scream1996 #ghostface #Billyloomis #Stumacher #murderbois #comfortcharacters,0,[],['😱🔪🎥']
english essayenglish sonnetfilipino speechjourna presentationap examano pa 🔪😃,0,[],['🔪😃']
@USER: Ghostface 🔪 #Scream1996,0,[],['🔪']
@USER: 1st Warley Scouts HQ Brentwood Essex tonight giving a talk on addiction 💉 county lines &amp; knife crime 🔪 well done all sta…,0,[],"['💉', '🔪']"
@USER: joining the #wenclair agenda 🔪🐺#wednesdaynetflix,0,[],['🔪🐺']
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: 🔫🍔 The Burginators 🍔🔪They have come from the future to terminate all humans Will you do your part The first chapter i…,0,[],"['🔫🍔', '🍔🔪']"
@USER Delete this🔪,0,[],['🔪']
kisses on my back 🔪💘✨💋,0,[],"['🔪💘', '💋']"
@USER: @USER @USER @USER @USER @USER @USER @USER @USER @USER…,0,[],[]
@USER: I was SO EXCITED 😮 to meet @USER a fellow #Canadian #crime writer . . . I asked her to be my next #blog #victim. 🔪😈…,0,[],"['😮', '🔪😈']"
@USER: Let's Continue the FUN 🔪🩸😈👻💀#Ghostface #DeadbyDaylight #Scream #dannyjohnson,0,[],"['🔪', '😈👻💀']"
